procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 15997844 1012048 6352696    0    0     0     0 2351 1940  0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 16002044 1012048 6352728    0    0     0     0  787  820  0  0 100  0  0  0
 0  0      0 16006140 1012048 6352764    0    0     0     0 1747 1208  0  0 100  0  0  0
 4  0      0 16396544 1012308 6129680    0    0     0 148884 37689 42849  2  3 94  1  0  0
 3  0      0 16391952 1012848 6028836    0    0     0 36116 48745 60430  6  4 89  1  0  0
 0  2      0 16200084 1014184 6036292    0    0   416 18660 18810 25732  2  1 91  6  0  0
17  0      0 16399068 1014816 6061028    0    0     0 25264 60264 153390  4  3 89  5  0  0
 3  0      0 16199716 1015128 6068900    0    0  5642 49220 37639 88828 15  3 81  1  0  0
 1  0      0 16211044 1015312 6078060    0    0  3059 11232 13754 30766  3  1 95  1  0  0
 1  0      0 16185616 1015544 6093892    0    0  2771 11056 30101 71555  4  1 95  1  0  0
 2  0      0 16132280 1015584 6115764    0    0     0 21928 42852 134795  9  3 88  0  0  0
 2  0      0 16123900 1015600 6116444    0    0     0  1428 17224 9192  2  2 96  0  0  0
 2  0      0 16079708 1015616 6119336    0    0     0  1100 22834 12480  4  3 93  0  0  0
 2  0      0 16113388 1015616 6119468    0    0     0   296 24766 11351  5  4 91  0  0  0
 2  0      0 16142848 1015648 6119928    0    0     0   344 24205 10375  5  4 91  0  0  0
 2  0      0 16219768 1015656 6126036    0    0     0  2012 21884 9690  6  3 91  0  0  0
 3  0      0 16234832 1015656 6127616    0    0     0  3412 11721 3025  7  2 91  0  0  0
 2  0      0 16250820 1015668 6128584    0    0     0  5860 13156 3266  7  2 91  0  0  0
 2  0      0 16273788 1015668 6129872    0    0     0  3968 9790 2510  8  1 91  0  0  0
 2  0      0 16230444 1015668 6130768    0    0     0  3224 11798 3068  7  1 91  0  0  0
 2  0      0 16240340 1015668 6131536    0    0     0  2516 9937 2614  8  1 91  0  0  0
 2  0      0 16277700 1015668 6136172    0    0     0  3608 16761 5046  6  2 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 16244344 1015676 6137924    0    0     0  4548 18832 5991  6  3 91  0  0  0
 2  0      0 16203400 1015676 6139504    0    0     0  3032 14890 4116  7  2 91  0  0  0
 3  0      0 16204912 1015676 6141660    0    0     0  5576 9420 2401  8  1 91  0  0  0
 2  0      0 16219996 1015676 6143396    0    0     0  4316 9720 2465  8  1 91  0  0  0
 2  0      0 16220868 1015676 6145884    0    0     0  4436 10591 2839  7  1 91  0  0  0
 2  0      0 16255208 1015680 6149300    0    0     0  5756 11100 2920  8  1 91  0  0  0
 2  0      0 16212512 1015732 6151868    0    0     0  5536 9168 2482  8  1 91  0  0  0
 2  0      0 16224864 1015732 6154140    0    0     0  4332 10982 2687  8  1 91  0  0  0
 2  0      0 16223012 1015732 6156404    0    0     0  3940 9095 2537  8  1 91  0  0  0
 2  0      0 16192984 1015732 6158444    0    0     0  2652 9570 2402  8  1 91  0  0  0
 2  0      0 16194000 1015732 6160620    0    0     0  6068 10456 2623  7  1 91  0  0  0
 2  0      0 16183072 1015736 6162952    0    0     0  3048 10060 2446  8  1 91  0  0  0
 2  0      0 16205608 1015740 6165132    0    0     0  5876 9530 2748  7  1 91  0  0  0
 2  0      0 16179824 1015740 6166888    0    0     0  3148 9715 2911  8  1 91  0  0  0
 2  0      0 16158172 1015740 6169104    0    0     0  3232 6638 1814  8  1 91  0  0  0
 3  0      0 16170304 1015740 6173096    0    0     0 11192 6711 2090  8  1 91  0  0  0
 2  0      0 16117432 1015740 6173908    0    0     0  7576 8205 2122  8  1 91  0  0  0
 2  0      0 16113288 1015748 6175996    0    0     0  5456 8805 2517  8  1 91  0  0  0
 2  0      0 16117376 1015748 6177740    0    0     0  3344 7790 2129  8  1 91  0  0  0
 2  0      0 16148704 1015748 6179796    0    0     0  3372 7326 2044  8  1 91  0  0  0
 2  0      0 16115948 1015748 6188356    0    0     0 14788 8941 2496  7  1 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
